Date, Close/Last, Volume, Open, High, Low
12/13/2019,1475.6,468,1463.1,1475.9,1463.1
12/12/2019,1472.3,396657,1469.5,1474.9,1468.2
12/11/2019,1475,247053,1479.1,1479.9,1478.7
12/10/2019,1462.6,367,1460.7,1467.2,1460.7
12/9/2019,1464.9,163682,1464.1,1469.8,1463
12/6/2019,1459.1,899,1475,1476,1458.2
12/5/2019,1483.1,231844,1480,1485.7,1478
12/4/2019,1480.2,311909,1483.2,1489.9,1476.7
12/3/2019,1478.2,1460,1461.6,1480.4,1459.5
12/2/2019,1469.2,304242,1470.3,1471.7,1459.8
11/29/2019,1472.7,259290,1461.7,1472.9,1459.1
11/27/2019,1453.4,88164,1461.1,1461.9,1452
11/26/2019,1467.4,271754,1461.3,1470,1456.6
11/25/2019,1463.8,121238,1467.5,1468.9,1460.7
11/22/2019,1468.8,77902,1470.9,1480.3,1468.1
11/21/2019,1470.5,73979,1481.3,1482.7,1469.4
11/20/2019,1470,31,1472.6,1474.5,1467.3
11/19/2019,1473.3,18,1467.7,1474.3,1467.7
11/18/2019,1471.9,325033,1467.8,1474.4,1456.6
11/15/2019,1467.3,13,1469.1,1469.1,1469.1
11/14/2019,1473.4,312108,1464,1475.5,1461.7
11/13/2019,1463.3,335980,1463.5,1467.9,1462.8
11/12/2019,1452.1,6,1454.9,1454.9,1447.1
11/11/2019,1457.1,295394,1460,1467.4,1448.9
11/8/2019,1461.3,21,1469.1,1469.1,1461.7
11/7/2019,1464.2,581,1466.8,1473,1466.5
11/6/2019,1493.1,302400,1491.5,1495.9,1490.5
11/5/2019,1483.7,573018,1511.6,1511.9,1480.7
11/4/2019,1511.1,250475,1516.4,1517.1,1506.5
11/1/2019,1508,235,1511,1511.6,1503
10/31/2019,1514.8,375394,1498.8,1516.7,1496
10/30/2019,1493.2,320,1487.2,1495.4,1481
10/29/2019,1490.7,283038,1494,1494,1489.7
10/28/2019,1495.8,310472,1507.4,1510.8,1492.3
10/25/2019,1499.5,93,1501.4,1503.7,1499
10/24/2019,1504.7,290074,1495.1,1506.9,1490.4
10/23/2019,1495.7,235483,1491.1,1499.4,1490.7
10/22/2019,1487.5,200931,1487.5,1492.1,1484
10/21/2019,1488.1,272195,1495.6,1498.7,1484.8
10/18/2019,1488.2,82,1487.3,1489.1,1486.6
10/17/2019,1498.3,296546,1494.2,1501.1,1487
10/16/2019,1494,360083,1484.8,1495.5,1480.6
10/15/2019,1483.5,307105,1497.7,1503,1480.8
10/14/2019,1497.6,221049,1492,1501.5,1487.1
10/11/2019,1488.7,462693,1498.3,1508,1478
10/10/2019,1500.9,401849,1510.8,1522.3,1495.7
10/9/2019,1512.8,277242,1515.4,1516.5,1510.1
10/8/2019,1497.2,46,1489.4,1506.3,1489.3
10/7/2019,1504.4,252399,1497.2,1499.7,1493.3
10/4/2019,1506.2,233,1505.6,1508.7,1497.1
10/3/2019,1513.8,400130,1505.6,1525.8,1501.7
10/2/2019,1501,205,1476.6,1503.7,1474.1
10/1/2019,1489,440804,1478,1493.5,1465
9/30/2019,1472.9,424759,1501.7,1507.2,1470.5
9/27/2019,1506.4,436289,1511.8,1514.4,1493.3
9/26/2019,1515.2,367934,1510.9,1519.5,1507.1
9/25/2019,1512.3,462742,1539.8,1542.8,1507.4
9/24/2019,1532.1,25,1515.1,1533,1515.1
9/23/2019,1531.5,349589,1521.5,1534.4,1517.9
9/20/2019,1507.3,2,1503,1503,1503
9/19/2019,1506.2,281865,1502,1512.1,1496.3
9/18/2019,1515.8,352179,1509.7,1519.5,1490.7
9/17/2019,1513.4,329751,1506.5,1515,1500.9
9/16/2019,1503.1,21,1500,1500.6,1498.5
9/13/2019,1490.9,1,1486.9,1486.9,1486.9
9/12/2019,1507.4,480662,1504.9,1532.2,1496.8
9/11/2019,1503.2,296849,1493.9,1506.2,1492.9
9/10/2019,1499.2,390357,1507,1509.1,1492.1
9/9/2019,1511.1,312350,1516.4,1523.8,1505.5
9/6/2019,1506.2,54,1517.3,1526,1504.5
9/5/2019,1525.5,586738,1561.4,1561.9,1514.3
9/4/2019,1560.4,404779,1556,1566.2,1542.6
9/3/2019,1555.9,541575,1539.2,1558.9,1529.6
8/30/2019,1529.2,320657,1536.9,1541.9,1525.6
8/29/2019,1536.9,439428,1549.4,1559.8,1528.6
8/28/2019,1549.1,342556,1551.8,1556.6,1541.4
8/27/2019,1551.8,334873,1537.3,1554.5,1535.3
8/26/2019,1537.2,407500,1545.4,1565,1534.8
8/23/2019,1537.6,459203,1508.8,1540.3,1503
8/22/2019,1497.3,686,1495.1,1495.1,1493.8
8/21/2019,1515.7,238972,1518.4,1518.4,1506.5
8/20/2019,1515.7,240391,1506.3,1518.8,1503
8/19/2019,1511.6,289329,1523,1523.6,1503.3
8/16/2019,1523.6,314597,1533.9,1538.6,1513.9
8/15/2019,1531.2,428618,1526.6,1537.7,1518.3
8/14/2019,1527.8,474508,1513,1534.9,1504.5
8/13/2019,1514.1,598082,1522.3,1546.1,1488.9
8/12/2019,1517.2,338340,1509.2,1531.5,1498.6
8/9/2019,1508.5,325590,1515.9,1521.1,1506.2
8/8/2019,1509.5,385340,1512.1,1521.3,1501.6
8/7/2019,1507.3,824,1473.5,1509.9,1473.2
8/6/2019,1484.2,375937,1481.1,1486.8,1468.2
8/5/2019,1464.6,1008,1440.4,1469.7,1440.4
8/2/2019,1457.5,471109,1457.5,1461.9,1442.5
8/1/2019,1432.4,567523,1425.6,1458.2,1412.1
